Locid,Airport Name,CY 23 Enplanements
BOI,Boise Air Trml/Gowen Field,"2,369,164"
IDA,Idaho Falls Regional,"270,140"
SUN,Friedman Memorial,"109,368"
LWS,Lewiston/Nez Perce County,"36,761"
TWF,Joslin Field/Magic Valley Regional,"19,871"
PIH,Pocatello Regional,"17,504"
MUO,Mountain Home AFB,727
COE,Coeur D'Alene/Pappy Boyington Field,103
MYL,McCall Municipal,52
DIJ,Driggs/Reed Memorial,35
SZT,Sandpoint,11
EUL,Caldwell Exec,10
1U7,Bear Lake County,8
66S,Cavanaugh Bay,8
GIC,Idaho County,7
MAN,Nampa Municipal,6
RXE,Rexburg-Madison County,4
ORD,Source: ACAIS,"35,843,104"
MDW,Chicago Midway International,"10,659,520"
PIA,General Downing - Peoria International,"315,482"
MLI,Quad Cities International,"272,481"
BMI,Central Il Regional/Bloomington-Normal,"164,672"
BLV,Scott AFB/Midamerica St Louis,"147,421"
RFD,Chicago/Rockford International,"120,494"
CMI,University of Illinois/Willard,"70,184"
SPI,Abraham Lincoln Capital,"50,513"
DEC,Decatur,"11,216"
MWA,Veterans Airport of Southern Illinois,"10,558"
UIN,Quincy Regional-Baldwin Field,"4,710"
CPS,St Louis Downtown,"4,129"
MDH,Southern Illinois,279
PWK,Chicago Exec,273
MTO,Coles County Memorial,240
GBG,Galesburg Municipal,200
DPA,Dupage,136
UGN,Waukegan Ntl,91
ARR,Aurora Municipal,32
1H2,Effingham County Regional,22
LOT,Lewis University,12
IKK,Greater Kankakee,11
IJX,Jacksonville Municipal,9
1C5,Bolingbrook's Clow International,8
C09,Morris Municipal/James R Washburn Field,4
GRE,Greenville,3
TAZ,Taylorville Municipal,1
IND,Indianapolis International,"4,788,376"
SBN,South Bend International,"411,377"
FWA,Fort Wayne International,"392,876"
EVV,Evansville Regional,"165,186"
GYY,Gary/Chicago International,"4,098"
BMG,Monroe County,"2,617"
LAF,Purdue University,"2,249"
HUF,Terre Haute Regional,381
TYQ,Indianapolis Exec,118
UMP,Indianapolis Metro,70
JVY,Clark Regional,49
MQJ,Indianapolis Regional,42
ASW,Warsaw Municipal,22
BAK,Columbus Municipal,15
C65,Plymouth Municipal,9
MGC,Michigan City Municipal-Phillips Field,9
EKM,Elkhart Municipal,8
AID,Anderson Municipal-Darlington Field,7
MCX,White County,7
HNB,Huntingburg,6
RID,Richmond Municipal,5
EYE,Eagle Creek Airpark,4
PPO,La Porte Municipal,3
FKR,Frankfort Clinton County Regional,2
HFY,Indy South Greenwood,2
IWH,Wabash Municipal,2
05C,Griffith-Merrillville,1
CFJ,Crawfordsville Regional,1
ICT,Wichita Dwight D Eisenhower Ntl,"843,273"
MHK,Manhattan Regional,"51,412"
GCK,Garden City Regional,"27,856"
SLN,Salina Regional,"15,080"
HYS,Hays Regional,"10,038"
LBL,Liberal Mid-America Regional,"8,267"
FOE,Topeka Regional,"7,647"
DDC,Dodge City Regional,"6,432"
OJC,Johnson County Exec,46
AAO,Colonel James Jabara,43
IDP,Independence Municipal,15
LWC,Lawrence Regional,12
HUT,Hutchinson Regional,11
CFV,Coffeyville Municipal,9
MEJ,Meade Municipal,8
K75,Osborne Municipal,6
IXD,New Century Aircenter,5
EMP,Emporia Municipal,3
1K1,Lloyd Stearman Field,2
K87,Hiawatha Municipal,2
ANY,Anthony Municipal,1
CVG,Cincinnati/Northern Kentucky International,"4,287,722"
SDF,Louisville Muhammad Ali International,"2,268,034"
LEX,Blue Grass,"665,667"
PAH,Barkley Regional,"13,057"
OWB,Owensboro/Daviess County Regional,"10,822"
HOP,Campbell AAF (Fort Campbell),"10,478"
BWG,Bowling Green-Warren County Regional,"1,024"
LOU,Bowman Field,207
DVK,Stuart Powell Field,46
EHR,Henderson City-County,30
SME,Lake Cumberland Regional,29
SJS,Big Sandy Regional,26
HVC,Hopkinsville-Christian County,20
LOZ,London/Corbin/Magee,20
27K,Georgetown-Scott County Regional,17
BRY,Samuels Field,9
AAS,Taylor County,5
FFT,Capital City,5
SYM,Morehead-Rowan County Clyde A Thomas Regional,5
BYL,Williamsburg-Whitley County,4
CEY,Kyle-Oakley Field,3
6I2,Lebanon Springfield-George Hoerter Field,2
PBX,Pike County/Hatcher Field,2
RGA,Central Kentucky Regional,2
2I0,Madisonville Regional,1
MSY,Louis Armstrong New Orleans International,"6,309,212"
BTR,Baton Rouge Metro,"377,665"
SHV,Shreveport Regional,"308,925"
LFT,Lafayette Regional/Paul Fournet Field,"229,831"
AEX,Alexandria International,"176,351"
MLU,Monroe Regional,"96,964"
LCH,Lake Charles Regional,"82,425"
BAD,Barksdale AFB,981
CWF,Chennault International,421
NEW,Lakefront,146
